Distance_(pixels),Gray_Value
0,16.0000
1,32.6667
2,35.6667
3,43.6667
4,45.3333
5,44.3333
6,46.3333
7,48.3333
8,46.3333
9,45.3333
10,43.3333
11,44.3333
12,43.6667
13,43.6667
14,40.6667
15,38.3333
16,39.0000
17,38.6667
18,37.0000
19,36.0000
20,31.6667
21,29.6667
22,30.6667
23,26.6667
24,24.6667
25,20.3333
26,22.3333
27,20.6667
28,20.0000
29,19.0000
30,17.6667
31,16.6667
32,15.6667
33,14.3333
34,13.6667
35,12.6667
36,13.0000
37,13.3333
38,12.6667
39,12.6667
40,9.6667
41,10.3333
42,10.0000
43,9.6667
44,9.6667
45,10.0000
46,8.0000
47,6.6667
48,6.3333
49,5.6667
50,4.6667
51,4.6667
52,5.0000
53,4.6667
54,4.3333
55,4.0000
56,2.3333
57,1.3333
58,3.0000
59,3.0000
60,2.0000
61,1.6667
62,1.3333
63,1.6667
64,2.0000
65,2.0000
66,1.3333
67,1.3333
68,1.3333
69,1.0000
70,0.3333
71,1.3333
72,1.3333
73,1.0000
74,0.3333
75,1.0000
76,1.0000
77,1.0000
