Distance_(pixels),Gray_Value
0,23.66667
1,23.63725
2,23.33333
3,24.00000
4,23.94118
5,23.85294
6,24.24510
7,23.56372
8,24.33333
9,27.59804
10,25.48039
11,23.65686
12,25.33333
13,25.66667
14,24.25490
15,24.44608
16,25.80392
17,25.50000
18,24.13725
19,23.83824
20,25.09804
21,25.47059
22,26.24510
23,25.32353
24,25.94118
25,24.73529
26,24.71568
27,24.20588
28,24.50980
29,25.09314
30,26.35294
31,24.75490
32,24.66667
33,23.78922
34,23.83333
35,23.69608
36,24.17647
37,24.93137
38,24.44118
39,24.37255
40,24.62745
41,23.57353
42,23.76471
43,25.66667
44,26.41177
45,25.68137
46,24.37255
47,23.09804
48,20.35294
49,23.44118
50,27.85294
51,25.91667
52,23.70588
53,22.77941
54,23.74510
55,24.19118
56,24.43137
57,23.84804
58,23.96078
59,24.66176
60,23.88235
61,24.00000
62,23.75490
63,22.70098
64,22.72549
65,22.75490
66,23.00000
67,22.36275
68,21.66667
