,0,1,2,3
0,"[157.0, 115.3103448275862, 155.13793103448276, 154.0, 112.82758620689656, 142.20689655172413, 137.3793103448276, 110.06896551724138, 125.58620689655173, 116.44827586206897, 122.03448275862068, 118.82758620689656, 120.82758620689656, 119.86206896551724, 121.13793103448276, 119.96551724137932, 119.55172413793103, 120.41379310344827, 120.41379310344827, 119.89655172413794, 119.58620689655173, 119.75862068965517, 119.17241379310344, 119.6896551724138, 119.89655172413794, 119.34482758620689, 119.48275862068965]","[145.59275862068964, 148.80482758620687, 125.48241379310343, 128.2755172413793, 140.2858620689655, 119.75655172413792, 135.53758620689652, 152.15655172413793, 111.23758620689654, 125.62206896551723, 136.93413793103446, 117.24275862068964, 121.85137931034481, 119.47724137931033, 124.78413793103445, 122.68931034482759, 122.82896551724139, 123.38758620689654, 123.80655172413793, 123.10827586206895, 121.85137931034481, 121.29275862068965, 121.15310344827586, 120.87379310344826, 121.71172413793104, 121.15310344827586, 121.29275862068965]","[146.98931034482757, 148.80482758620687, 126.18068965517239, 127.29793103448273, 134.28068965517238, 129.81172413793104, 122.5496551724138, 123.94620689655173, 136.79448275862066, 127.99620689655171, 119.47724137931033, 129.9513793103448, 129.25310344827585, 127.01862068965517, 124.64448275862065, 122.68931034482759, 121.71172413793104, 121.29275862068965, 122.41, 121.71172413793104, 121.99103448275861, 121.85137931034481, 121.43241379310345, 122.1306896551724, 121.71172413793104, 121.43241379310345, 114.58931034482757]","[153.27379310344827, 135.67724137931032, 134.00137931034482, 134.97896551724136, 130.6496551724138, 126.59965517241378, 127.71689655172412, 126.32034482758618, 134.97896551724136, 125.76172413793103, 126.04103448275859, 128.4151724137931, 123.52724137931034, 126.04103448275859, 122.68931034482759, 121.99103448275861, 121.85137931034481, 122.82896551724139, 122.2703448275862, 121.85137931034481, 121.99103448275861, 122.1306896551724, 121.29275862068965, 121.43241379310345, 121.29275862068965, 121.01344827586206, 121.43241379310345]"
1,"[131.89655172413794, 142.44827586206895, 103.06896551724138, 124.65517241379311, 111.06896551724138, 116.34482758620689, 118.41379310344827, 119.51724137931035, 119.96551724137932, 120.6896551724138, 120.72413793103448, 120.62068965517241, 121.06896551724138, 121.3103448275862, 121.03448275862068, 120.96551724137932, 121.41379310344827, 121.13793103448276, 120.82758620689656, 120.6896551724138, 120.24137931034483, 119.96551724137932, 120.03448275862068, 119.65517241379311, 119.55172413793103, 119.75862068965517]","[126.87896551724137, 133.16344827586207, 144.19620689655173, 126.59965517241378, 134.1410344827586, 132.04620689655172, 128.97379310344826, 125.76172413793103, 125.76172413793103, 125.62206896551723, 125.20310344827584, 124.92379310344825, 124.22551724137932, 123.52724137931034, 123.94620689655173, 124.08586206896553, 124.78413793103445, 122.96862068965518, 122.2703448275862, 122.5496551724138, 122.41, 122.5496551724138, 122.5496551724138, 122.1306896551724, 121.43241379310345, 121.29275862068965]","[127.29793103448273, 135.25827586206893, 140.2858620689655, 133.44275862068966, 135.67724137931032, 129.67206896551724, 126.59965517241378, 126.87896551724137, 127.57724137931032, 125.62206896551723, 124.36517241379309, 122.68931034482759, 124.36517241379309, 125.20310344827584, 124.22551724137932, 122.96862068965518, 122.82896551724139, 123.10827586206895, 123.52724137931034, 123.10827586206895, 122.68931034482759, 122.1306896551724, 122.5496551724138, 122.41, 121.71172413793104, 121.57206896551725]","[129.39275862068965, 138.88931034482758, 133.58241379310346, 140.4255172413793, 130.51, 128.55482758620687, 128.55482758620687, 127.01862068965517, 126.45999999999998, 125.76172413793103, 124.78413793103445, 124.36517241379309, 124.50482758620686, 123.52724137931034, 123.80655172413793, 123.80655172413793, 123.80655172413793, 123.52724137931034, 122.96862068965518, 122.5496551724138, 122.41, 121.99103448275861, 122.41, 121.99103448275861, 121.99103448275861, 121.99103448275861]"
2,"[135.51724137931035, 125.06896551724138, 124.79310344827586, 127.34482758620689, 124.62068965517241, 123.65517241379311, 123.41379310344827, 123.51724137931035, 123.10344827586206, 122.89655172413794, 121.55172413793103, 120.55172413793103, 122.41379310344827, 122.37931034482759, 121.96551724137932, 121.51724137931035, 121.37931034482759, 120.58620689655173, 121.44827586206897, 121.10344827586206, 120.17241379310344, 120.55172413793103, 120.93103448275862, 119.34482758620689, 118.51724137931035, 118.82758620689656, 115.72413793103448]","[128.69448275862067, 139.86689655172412, 137.21344827586205, 136.79448275862066, 135.9565517241379, 130.2306896551724, 128.97379310344826, 130.51, 127.57724137931032, 127.85655172413792, 126.04103448275859, 124.50482758620686, 126.73931034482757, 127.57724137931032, 122.5496551724138, 123.10827586206895, 124.64448275862065, 125.06344827586204, 124.50482758620686, 123.24793103448275, 122.2703448275862, 122.2703448275862, 122.96862068965518, 122.1306896551724, 121.43241379310345, 120.45482758620687, 119.47724137931033]","[130.51, 138.88931034482758, 138.1910344827586, 139.72724137931033, 130.3703448275862, 131.90655172413793, 131.90655172413793, 126.59965517241378, 127.85655172413792, 129.11344827586205, 127.57724137931032, 123.66689655172414, 123.66689655172414, 124.78413793103445, 126.73931034482757, 125.62206896551723, 123.94620689655173, 122.68931034482759, 122.82896551724139, 123.52724137931034, 123.66689655172414, 123.66689655172414, 123.10827586206895, 121.29275862068965, 121.43241379310345, 119.05827586206894, 120.87379310344826]","[134.1410344827586, 140.70482758620687, 139.44793103448274, 134.28068965517238, 135.25827586206893, 130.92896551724138, 129.53241379310344, 128.83413793103446, 128.55482758620687, 126.18068965517239, 127.01862068965517, 125.9013793103448, 125.48241379310343, 125.20310344827584, 125.62206896551723, 125.06344827586204, 123.66689655172414, 124.50482758620686, 124.50482758620686, 122.68931034482759, 123.10827586206895, 123.10827586206895, 122.96862068965518, 120.87379310344826, 121.15310344827586, 119.89620689655172, 121.29275862068965]"
3,"[141.6551724137931, 144.27586206896552, 102.03448275862068, 122.03448275862068, 111.0, 114.03448275862068, 118.27586206896552, 120.79310344827586, 122.3103448275862, 121.75862068965517, 121.82758620689656, 122.24137931034483, 121.93103448275862, 121.72413793103448, 121.86206896551724, 121.10344827586206, 121.13793103448276, 121.44827586206897, 121.48275862068965, 120.96551724137932, 121.0, 120.72413793103448, 120.75862068965517, 120.82758620689656, 120.93103448275862, 120.34482758620689, 120.48275862068965]","[132.32551724137932, 134.55999999999997, 142.2410344827586, 127.71689655172412, 138.0513793103448, 133.30310344827586, 128.4151724137931, 128.83413793103446, 128.97379310344826, 126.59965517241378, 125.62206896551723, 126.87896551724137, 126.04103448275859, 124.92379310344825, 123.24793103448275, 123.52724137931034, 125.48241379310343, 125.20310344827584, 123.24793103448275, 121.85137931034481, 123.10827586206895, 123.80655172413793, 123.24793103448275, 123.10827586206895, 122.96862068965518, 122.1306896551724, 122.2703448275862]","[131.34793103448274, 136.3755172413793, 135.8168965517241, 136.79448275862066, 136.93413793103446, 132.4651724137931, 131.48758620689654, 127.29793103448273, 126.59965517241378, 128.1358620689655, 127.15827586206893, 125.20310344827584, 123.66689655172414, 125.06344827586204, 126.45999999999998, 125.34275862068964, 122.96862068965518, 122.68931034482759, 123.24793103448275, 123.38758620689654, 124.22551724137932, 123.66689655172414, 123.24793103448275, 123.24793103448275, 121.85137931034481, 122.5496551724138, 122.5496551724138]","[130.92896551724138, 138.1910344827586, 135.53758620689652, 138.3306896551724, 134.28068965517238, 132.04620689655172, 129.67206896551724, 128.83413793103446, 128.2755172413793, 126.32034482758618, 125.76172413793103, 125.06344827586204, 125.76172413793103, 125.62206896551723, 124.92379310344825, 123.94620689655173, 124.22551724137932, 124.22551724137932, 124.36517241379309, 123.94620689655173, 122.96862068965518, 122.68931034482759, 122.82896551724139, 123.10827586206895, 122.68931034482759, 122.68931034482759, 122.41]"
4,"[138.48275862068965, 150.79310344827587, 111.13793103448276, 143.68965517241378, 140.44827586206895, 107.65517241379311, 124.96551724137932, 113.27586206896552, 119.10344827586206, 120.24137931034483, 120.75862068965517, 120.89655172413794, 120.89655172413794, 121.34482758620689, 121.03448275862068, 121.34482758620689, 120.96551724137932, 121.13793103448276, 120.89655172413794, 121.13793103448276, 120.58620689655173, 120.51724137931035, 121.06896551724138, 120.41379310344827, 120.13793103448276, 120.27586206896552]","[131.76689655172413, 139.44793103448274, 144.89448275862065, 126.32034482758618, 131.76689655172413, 142.1013793103448, 125.34275862068964, 130.78931034482758, 128.4151724137931, 126.04103448275859, 127.29793103448273, 126.45999999999998, 126.18068965517239, 124.92379310344825, 123.38758620689654, 123.80655172413793, 124.22551724137932, 123.38758620689654, 123.10827586206895, 122.5496551724138, 122.96862068965518, 123.24793103448275, 122.96862068965518, 121.85137931034481, 122.1306896551724, 121.99103448275861]","[132.04620689655172, 140.84448275862067, 141.96172413793104, 133.44275862068966, 133.72206896551725, 134.55999999999997, 134.00137931034482, 131.62724137931033, 127.15827586206893, 128.1358620689655, 127.01862068965517, 124.22551724137932, 124.08586206896553, 125.20310344827584, 125.76172413793103, 124.22551724137932, 123.66689655172414, 123.10827586206895, 122.5496551724138, 122.5496551724138, 123.10827586206895, 123.52724137931034, 123.10827586206895, 122.5496551724138, 122.68931034482759, 122.82896551724139]","[132.18586206896552, 144.3358620689655, 136.79448275862066, 134.97896551724136, 136.0962068965517, 133.44275862068966, 132.88413793103447, 130.3703448275862, 128.69448275862067, 126.87896551724137, 126.04103448275859, 126.45999999999998, 126.18068965517239, 124.50482758620686, 123.66689655172414, 123.52724137931034, 124.08586206896553, 123.80655172413793, 123.52724137931034, 123.52724137931034, 122.41, 122.1306896551724, 122.96862068965518, 122.68931034482759, 122.2703448275862, 122.41]"
5,"[126.96551724137932, 125.06896551724138, 121.93103448275862, 125.13793103448276, 124.03448275862068, 123.41379310344827, 122.55172413793103, 122.86206896551724, 122.58620689655173, 121.96551724137932, 121.96551724137932, 121.79310344827586, 121.41379310344827, 121.93103448275862, 122.13793103448276, 121.44827586206897, 121.27586206896552, 121.48275862068965, 121.03448275862068, 121.34482758620689, 120.13793103448276, 117.55172413793103, 116.20689655172414, 117.82758620689656, 116.79310344827586, 118.37931034482759, 121.89655172413794]","[127.85655172413792, 129.25310344827585, 127.99620689655171, 131.90655172413793, 127.15827586206893, 129.67206896551724, 126.87896551724137, 126.45999999999998, 128.83413793103446, 125.62206896551723, 125.34275862068964, 126.45999999999998, 124.78413793103445, 124.36517241379309, 123.66689655172414, 123.66689655172414, 125.62206896551723, 125.06344827586204, 124.08586206896553, 123.10827586206895, 121.15310344827586, 119.89620689655172, 119.75655172413792, 121.15310344827586, 123.38758620689654, 119.05827586206894, 121.29275862068965]","[128.2755172413793, 129.81172413793104, 127.71689655172412, 128.69448275862067, 132.18586206896552, 126.59965517241378, 128.69448275862067, 127.43758620689653, 125.62206896551723, 125.9013793103448, 125.34275862068964, 125.48241379310343, 126.32034482758618, 125.9013793103448, 125.62206896551723, 123.94620689655173, 122.82896551724139, 122.82896551724139, 124.36517241379309, 125.34275862068964, 123.52724137931034, 120.87379310344826, 118.08068965517239, 118.22034482758619, 120.73413793103447, 121.57206896551725, 122.96862068965518]","[128.55482758620687, 128.4151724137931, 131.06862068965518, 128.2755172413793, 128.97379310344826, 129.11344827586205, 127.71689655172412, 127.57724137931032, 126.32034482758618, 127.57724137931032, 125.76172413793103, 124.50482758620686, 124.08586206896553, 124.92379310344825, 125.48241379310343, 124.50482758620686, 124.22551724137932, 123.94620689655173, 123.66689655172414, 123.94620689655173, 122.1306896551724, 120.45482758620687, 119.61689655172412, 119.61689655172412, 121.43241379310345, 122.68931034482759, 122.2703448275862]"
6,"[132.06896551724137, 123.24137931034483, 130.79310344827587, 123.37931034482759, 120.6896551724138, 106.82758620689656, 107.82758620689656, 129.68965517241378, 125.75862068965517, 122.13793103448276, 121.82758620689656, 121.37931034482759, 121.41379310344827, 121.48275862068965, 121.51724137931035, 121.48275862068965, 121.13793103448276, 121.06896551724138, 121.17241379310344, 121.17241379310344, 121.24137931034483, 120.96551724137932, 120.6896551724138, 120.75862068965517, 120.75862068965517, 120.6896551724138]","[124.64448275862065, 119.75655172413792, 125.9013793103448, 131.34793103448274, 126.87896551724137, 131.76689655172413, 127.29793103448273, 122.68931034482759, 124.36517241379309, 124.78413793103445, 125.34275862068964, 125.20310344827584, 124.22551724137932, 123.94620689655173, 123.66689655172414, 124.08586206896553, 124.08586206896553, 123.80655172413793, 122.96862068965518, 122.5496551724138, 123.24793103448275, 123.24793103448275, 122.82896551724139, 123.10827586206895, 122.96862068965518, 122.41]","[126.32034482758618, 121.57206896551725, 127.01862068965517, 127.99620689655171, 127.85655172413792, 129.9513793103448, 128.83413793103446, 122.96862068965518, 125.06344827586204, 125.48241379310343, 125.76172413793103, 124.50482758620686, 123.94620689655173, 123.94620689655173, 124.50482758620686, 123.52724137931034, 123.38758620689654, 123.66689655172414, 123.80655172413793, 123.24793103448275, 123.52724137931034, 123.10827586206895, 122.82896551724139, 122.82896551724139, 122.68931034482759, 122.68931034482759]","[124.08586206896553, 121.71172413793104, 126.45999999999998, 127.29793103448273, 131.90655172413793, 126.87896551724137, 124.92379310344825, 125.62206896551723, 126.32034482758618, 124.08586206896553, 124.36517241379309, 124.78413793103445, 125.20310344827584, 125.20310344827584, 124.50482758620686, 122.96862068965518, 123.52724137931034, 123.52724137931034, 123.80655172413793, 123.10827586206895, 122.41, 123.10827586206895, 123.24793103448275, 122.41, 122.82896551724139, 122.5496551724138]"
7,"[127.86206896551724, 131.72413793103448, 121.62068965517241, 120.10344827586206, 120.24137931034483, 120.24137931034483, 120.75862068965517, 120.58620689655173, 120.72413793103448, 121.3103448275862, 121.03448275862068, 120.75862068965517, 121.03448275862068, 121.06896551724138, 121.51724137931035, 121.13793103448276, 120.89655172413794, 120.65517241379311, 121.10344827586206, 121.03448275862068, 120.62068965517241, 120.72413793103448, 120.6896551724138, 120.58620689655173, 120.86206896551724, 120.82758620689656]","[125.06344827586204, 127.57724137931032, 128.2755172413793, 129.81172413793104, 125.20310344827584, 124.92379310344825, 125.62206896551723, 126.32034482758618, 125.34275862068964, 125.34275862068964, 124.08586206896553, 123.10827586206895, 123.94620689655173, 124.22551724137932, 124.08586206896553, 123.38758620689654, 122.41, 121.71172413793104, 122.68931034482759, 123.52724137931034, 122.82896551724139, 122.2703448275862, 121.99103448275861, 121.71172413793104, 121.43241379310345, 121.85137931034481]","[123.80655172413793, 125.62206896551723, 129.39275862068965, 124.92379310344825, 127.71689655172412, 128.69448275862067, 126.04103448275859, 123.52724137931034, 123.66689655172414, 125.48241379310343, 125.20310344827584, 124.64448275862065, 123.38758620689654, 122.41, 123.10827586206895, 123.94620689655173, 123.66689655172414, 123.80655172413793, 122.96862068965518, 122.41, 121.57206896551725, 121.99103448275861, 121.57206896551725, 122.2703448275862, 123.10827586206895, 122.2703448275862]","[124.36517241379309, 126.87896551724137, 128.1358620689655, 128.2755172413793, 127.15827586206893, 125.20310344827584, 126.18068965517239, 126.04103448275859, 125.20310344827584, 124.36517241379309, 123.80655172413793, 124.64448275862065, 124.50482758620686, 123.24793103448275, 122.82896551724139, 123.38758620689654, 123.38758620689654, 123.24793103448275, 122.2703448275862, 122.68931034482759, 122.96862068965518, 123.10827586206895, 122.41, 121.85137931034481, 122.2703448275862, 121.43241379310345]"
8,"[126.75862068965517, 131.86206896551724, 121.27586206896552, 120.17241379310344, 119.96551724137932, 119.65517241379311, 119.96551724137932, 120.55172413793103, 120.75862068965517, 120.55172413793103, 120.72413793103448, 121.03448275862068, 120.86206896551724, 121.06896551724138, 120.89655172413794, 120.82758620689656, 122.0, 122.10344827586206, 121.6896551724138, 121.86206896551724, 121.75862068965517, 120.0, 121.72413793103448, 121.72413793103448, 120.89655172413794, 121.0, 121.0]","[123.10827586206895, 126.04103448275859, 130.2306896551724, 127.01862068965517, 126.45999999999998, 125.76172413793103, 125.9013793103448, 125.62206896551723, 124.50482758620686, 124.36517241379309, 124.08586206896553, 123.94620689655173, 123.66689655172414, 123.52724137931034, 123.24793103448275, 123.80655172413793, 123.66689655172414, 124.22551724137932, 123.38758620689654, 123.52724137931034, 123.52724137931034, 122.5496551724138, 122.96862068965518, 123.38758620689654, 122.82896551724139, 123.38758620689654, 123.38758620689654]","[124.78413793103445, 127.43758620689653, 127.01862068965517, 127.15827586206893, 128.55482758620687, 127.57724137931032, 124.64448275862065, 123.24793103448275, 125.34275862068964, 125.20310344827584, 124.78413793103445, 123.80655172413793, 122.5496551724138, 122.82896551724139, 123.10827586206895, 124.64448275862065, 124.78413793103445, 123.52724137931034, 123.10827586206895, 122.82896551724139, 122.82896551724139, 121.85137931034481, 123.66689655172414, 123.66689655172414, 123.66689655172414, 123.24793103448275, 122.68931034482759]","[123.80655172413793, 127.15827586206893, 128.69448275862067, 127.57724137931032, 126.18068965517239, 125.62206896551723, 126.73931034482757, 126.18068965517239, 123.94620689655173, 123.80655172413793, 124.22551724137932, 123.52724137931034, 124.50482758620686, 123.94620689655173, 122.68931034482759, 123.94620689655173, 123.38758620689654, 123.38758620689654, 123.38758620689654, 124.08586206896553, 123.66689655172414, 122.82896551724139, 123.10827586206895, 122.96862068965518, 122.68931034482759, 123.24793103448275, 122.82896551724139]"
9,"[125.37931034482759, 122.86206896551724, 122.06896551724138, 121.44827586206897, 121.65517241379311, 121.3103448275862, 121.20689655172414, 121.34482758620689, 121.51724137931035, 121.10344827586206, 120.96551724137932, 121.13793103448276, 121.17241379310344, 121.24137931034483, 121.44827586206897, 120.58620689655173, 120.79310344827586, 120.96551724137932, 120.86206896551724, 120.58620689655173, 121.0, 120.06896551724138, 120.89655172413794, 120.86206896551724, 120.37931034482759, 120.62068965517241]","[126.32034482758618, 125.9013793103448, 124.50482758620686, 123.80655172413793, 125.48241379310343, 124.92379310344825, 124.36517241379309, 123.38758620689654, 123.24793103448275, 123.94620689655173, 123.24793103448275, 123.80655172413793, 123.80655172413793, 122.68931034482759, 122.5496551724138, 121.99103448275861, 121.99103448275861, 122.96862068965518, 122.96862068965518, 122.5496551724138, 122.68931034482759, 121.85137931034481, 122.1306896551724, 122.41, 122.5496551724138, 121.43241379310345]","[124.78413793103445, 125.76172413793103, 125.76172413793103, 125.06344827586204, 124.36517241379309, 123.80655172413793, 123.80655172413793, 124.08586206896553, 124.78413793103445, 123.80655172413793, 123.80655172413793, 122.96862068965518, 122.5496551724138, 123.10827586206895, 123.24793103448275, 123.24793103448275, 122.96862068965518, 122.96862068965518, 122.68931034482759, 122.1306896551724, 122.41, 121.71172413793104, 122.41, 122.1306896551724, 121.85137931034481, 122.41]","[125.62206896551723, 125.34275862068964, 125.62206896551723, 124.92379310344825, 124.50482758620686, 124.78413793103445, 123.94620689655173, 124.22551724137932, 123.66689655172414, 123.24793103448275, 123.38758620689654, 122.82896551724139, 123.10827586206895, 123.24793103448275, 123.38758620689654, 122.96862068965518, 122.5496551724138, 122.68931034482759, 121.99103448275861, 121.99103448275861, 121.57206896551725, 122.41, 122.82896551724139, 122.82896551724139, 122.68931034482759, 121.29275862068965]"
