,0,1,2,3
0,"[79.58620689655173, 79.93103448275862, 80.03448275862068, 80.03448275862068, 79.79310344827586, 79.79310344827586, 80.24137931034483, 80.10344827586206, 80.03448275862068, 80.0, 80.13793103448276, 80.03448275862068, 80.06896551724138, 80.06896551724138, 79.75862068965517, 80.03448275862068, 79.93103448275862, 79.86206896551724, 79.96551724137932, 79.96551724137932, 80.20689655172414, 80.03448275862068, 80.06896551724138, 80.06896551724138]","[78.55827586206894, 79.53586206896551, 80.65310344827586, 80.09448275862067, 79.67551724137931, 79.8151724137931, 79.95482758620687, 79.8151724137931, 80.09448275862067, 80.09448275862067, 79.95482758620687, 80.09448275862067, 80.37379310344826, 79.67551724137931, 79.8151724137931, 79.8151724137931, 80.23413793103447, 79.67551724137931, 79.67551724137931, 80.51344827586206, 80.09448275862067, 80.51344827586206, 79.39620689655172, 79.95482758620687]","[80.23413793103447, 80.09448275862067, 79.8151724137931, 79.67551724137931, 80.51344827586206, 80.37379310344826, 80.09448275862067, 79.67551724137931, 79.53586206896551, 80.65310344827586, 79.95482758620687, 80.09448275862067, 79.53586206896551, 80.09448275862067, 79.95482758620687, 79.8151724137931, 79.8151724137931, 79.8151724137931, 80.23413793103447, 79.95482758620687, 80.23413793103447, 79.8151724137931, 80.79275862068965, 80.23413793103447]","[80.37379310344826, 79.8151724137931, 79.8151724137931, 79.95482758620687, 80.09448275862067, 79.95482758620687, 80.09448275862067, 80.23413793103447, 80.23413793103447, 79.8151724137931, 79.67551724137931, 80.23413793103447, 79.67551724137931, 80.09448275862067, 80.23413793103447, 80.09448275862067, 79.67551724137931, 79.95482758620687, 79.8151724137931, 79.67551724137931, 80.51344827586206, 79.95482758620687, 79.95482758620687, 80.09448275862067]"
1,"[80.0, 79.89655172413794, 79.96551724137932, 80.06896551724138, 80.03448275862068, 80.06896551724138, 79.93103448275862, 80.0, 80.24137931034483, 79.58620689655173, 79.96551724137932, 80.13793103448276, 79.86206896551724, 79.82758620689656, 80.13793103448276, 80.03448275862068, 80.13793103448276, 80.03448275862068, 79.79310344827586, 79.93103448275862, 79.89655172413794, 79.93103448275862, 79.89655172413794, 80.17241379310344]","[79.67551724137931, 80.37379310344826, 80.09448275862067, 80.09448275862067, 79.95482758620687, 80.09448275862067, 79.95482758620687, 80.09448275862067, 80.23413793103447, 79.8151724137931, 80.23413793103447, 79.95482758620687, 80.09448275862067, 79.95482758620687, 79.95482758620687, 79.53586206896551, 80.51344827586206, 79.95482758620687, 79.8151724137931, 79.39620689655172, 81.21172413793104, 80.37379310344826, 80.37379310344826, 79.67551724137931]","[79.95482758620687, 80.51344827586206, 80.09448275862067, 80.23413793103447, 80.09448275862067, 79.95482758620687, 79.53586206896551, 80.37379310344826, 80.09448275862067, 80.09448275862067, 80.51344827586206, 79.39620689655172, 79.67551724137931, 80.09448275862067, 80.23413793103447, 80.09448275862067, 79.67551724137931, 79.95482758620687, 79.8151724137931, 79.95482758620687, 80.09448275862067, 80.23413793103447, 79.67551724137931, 79.8151724137931]","[80.09448275862067, 79.67551724137931, 79.67551724137931, 80.09448275862067, 79.8151724137931, 79.8151724137931, 79.95482758620687, 79.53586206896551, 80.37379310344826, 80.23413793103447, 80.23413793103447, 80.37379310344826, 79.67551724137931, 79.67551724137931, 79.95482758620687, 80.23413793103447, 80.51344827586206, 79.25655172413792, 79.67551724137931, 79.95482758620687, 80.09448275862067, 80.37379310344826, 79.8151724137931, 79.8151724137931]"
2,"[80.06896551724138, 79.96551724137932, 79.93103448275862, 79.79310344827586, 80.13793103448276, 80.10344827586206, 80.0, 79.93103448275862, 80.17241379310344, 79.86206896551724, 79.96551724137932, 80.13793103448276, 79.93103448275862, 80.10344827586206, 80.0]","[79.95482758620687, 79.8151724137931, 80.51344827586206, 80.37379310344826, 80.23413793103447, 79.39620689655172, 79.8151724137931, 79.8151724137931, 80.23413793103447, 79.95482758620687, 79.8151724137931, 80.09448275862067, 79.8151724137931, 79.8151724137931, 80.23413793103447]","[80.37379310344826, 79.8151724137931, 80.65310344827586, 79.95482758620687, 80.65310344827586, 80.65310344827586, 78.69793103448274, 80.09448275862067, 79.67551724137931, 79.8151724137931, 79.8151724137931, 80.09448275862067, 79.53586206896551, 79.95482758620687, 80.23413793103447]","[80.37379310344826, 80.37379310344826, 79.95482758620687, 80.23413793103447, 79.8151724137931, 79.67551724137931, 80.37379310344826, 79.8151724137931, 79.8151724137931, 79.95482758620687, 80.23413793103447, 80.37379310344826, 79.8151724137931, 79.67551724137931, 80.51344827586206]"
3,"[80.0, 80.03448275862068, 79.79310344827586, 80.0, 80.03448275862068, 79.82758620689656, 79.89655172413794, 79.93103448275862, 79.93103448275862, 80.06896551724138, 80.10344827586206, 79.96551724137932, 79.96551724137932, 80.0, 79.93103448275862, 80.13793103448276, 79.93103448275862, 80.03448275862068, 80.17241379310344]","[80.79275862068965, 80.23413793103447, 79.8151724137931, 80.09448275862067, 80.23413793103447, 79.67551724137931, 79.95482758620687, 79.95482758620687, 79.8151724137931, 79.53586206896551, 81.21172413793104, 80.37379310344826, 79.67551724137931, 80.37379310344826, 79.95482758620687, 80.09448275862067, 80.09448275862067, 79.8151724137931, 80.37379310344826]","[79.8151724137931, 80.09448275862067, 80.51344827586206, 79.25655172413792, 80.37379310344826, 79.95482758620687, 79.8151724137931, 79.95482758620687, 79.67551724137931, 80.09448275862067, 79.95482758620687, 80.23413793103447, 80.23413793103447, 79.95482758620687, 79.8151724137931, 80.51344827586206, 80.09448275862067, 79.95482758620687, 80.37379310344826]","[79.95482758620687, 80.23413793103447, 79.67551724137931, 79.8151724137931, 79.53586206896551, 80.51344827586206, 80.09448275862067, 79.95482758620687, 80.09448275862067, 80.09448275862067, 80.09448275862067, 80.09448275862067, 79.67551724137931, 80.23413793103447, 80.23413793103447, 80.09448275862067, 79.95482758620687, 79.67551724137931, 80.37379310344826]"
4,"[80.0, 80.03448275862068, 80.10344827586206, 80.0, 79.75862068965517, 80.17241379310344, 80.0, 80.03448275862068, 80.06896551724138, 80.03448275862068, 79.96551724137932, 80.20689655172414, 80.17241379310344, 79.93103448275862, 80.0, 79.93103448275862, 80.17241379310344, 80.10344827586206, 79.89655172413794, 79.93103448275862, 79.96551724137932, 79.93103448275862, 80.06896551724138]","[79.67551724137931, 80.37379310344826, 80.09448275862067, 80.37379310344826, 79.39620689655172, 79.67551724137931, 80.37379310344826, 79.67551724137931, 80.09448275862067, 79.95482758620687, 79.95482758620687, 80.51344827586206, 80.23413793103447, 80.09448275862067, 79.39620689655172, 79.8151724137931, 79.95482758620687, 79.67551724137931, 80.37379310344826, 79.95482758620687, 79.67551724137931, 80.51344827586206, 80.09448275862067]","[79.8151724137931, 79.95482758620687, 80.23413793103447, 79.95482758620687, 79.95482758620687, 80.09448275862067, 79.67551724137931, 80.09448275862067, 79.8151724137931, 79.95482758620687, 79.95482758620687, 79.95482758620687, 79.8151724137931, 79.95482758620687, 80.23413793103447, 80.09448275862067, 80.09448275862067, 80.09448275862067, 79.67551724137931, 79.67551724137931, 80.79275862068965, 79.95482758620687, 79.95482758620687]","[80.09448275862067, 79.95482758620687, 80.51344827586206, 79.95482758620687, 80.37379310344826, 80.09448275862067, 80.09448275862067, 79.95482758620687, 80.09448275862067, 80.37379310344826, 79.8151724137931, 79.95482758620687, 80.37379310344826, 79.39620689655172, 79.95482758620687, 80.23413793103447, 79.67551724137931, 80.09448275862067, 79.8151724137931, 79.8151724137931, 80.09448275862067, 79.95482758620687, 80.09448275862067]"
5,"[80.03448275862068, 80.17241379310344, 80.03448275862068, 80.13793103448276, 79.86206896551724, 79.93103448275862, 79.86206896551724, 80.0, 80.06896551724138, 80.10344827586206, 79.82758620689656, 79.93103448275862, 79.93103448275862, 80.0, 79.89655172413794, 80.03448275862068, 80.06896551724138, 80.06896551724138, 80.10344827586206, 80.0, 80.17241379310344, 79.79310344827586, 79.96551724137932]","[79.95482758620687, 79.95482758620687, 80.23413793103447, 79.67551724137931, 80.23413793103447, 80.23413793103447, 79.8151724137931, 79.8151724137931, 79.95482758620687, 80.09448275862067, 80.79275862068965, 78.13931034482758, 79.39620689655172, 81.21172413793104, 80.51344827586206, 79.8151724137931, 79.53586206896551, 80.09448275862067, 80.09448275862067, 80.23413793103447, 80.09448275862067, 79.67551724137931, 79.53586206896551]","[80.09448275862067, 80.37379310344826, 79.53586206896551, 80.23413793103447, 79.95482758620687, 79.8151724137931, 79.53586206896551, 79.95482758620687, 80.23413793103447, 80.51344827586206, 79.39620689655172, 80.09448275862067, 79.53586206896551, 80.23413793103447, 79.67551724137931, 80.37379310344826, 79.95482758620687, 80.09448275862067, 79.8151724137931, 79.95482758620687, 79.67551724137931, 80.51344827586206, 80.23413793103447]","[80.23413793103447, 79.8151724137931, 79.95482758620687, 79.53586206896551, 80.37379310344826, 79.95482758620687, 80.23413793103447, 80.37379310344826, 79.67551724137931, 79.8151724137931, 79.8151724137931, 80.37379310344826, 80.09448275862067, 80.23413793103447, 79.95482758620687, 79.95482758620687, 79.67551724137931, 80.23413793103447, 80.23413793103447, 80.09448275862067, 80.09448275862067, 80.09448275862067, 80.37379310344826]"
6,"[80.03448275862068, 80.06896551724138, 79.82758620689656, 80.03448275862068, 80.13793103448276, 79.72413793103448, 80.10344827586206, 80.06896551724138, 79.93103448275862, 80.06896551724138, 80.06896551724138, 79.96551724137932, 79.79310344827586, 80.20689655172414, 79.96551724137932, 79.86206896551724, 79.96551724137932, 80.3103448275862, 80.17241379310344, 79.86206896551724, 80.17241379310344, 80.0, 80.03448275862068, 79.96551724137932]","[79.95482758620687, 80.23413793103447, 79.53586206896551, 80.09448275862067, 79.53586206896551, 80.09448275862067, 79.95482758620687, 80.09448275862067, 80.09448275862067, 79.67551724137931, 80.09448275862067, 79.8151724137931, 80.37379310344826, 80.51344827586206, 78.83758620689653, 79.8151724137931, 79.8151724137931, 80.37379310344826, 79.53586206896551, 79.95482758620687, 79.8151724137931, 80.09448275862067, 79.8151724137931, 79.8151724137931]","[80.23413793103447, 79.95482758620687, 80.09448275862067, 79.95482758620687, 79.67551724137931, 80.37379310344826, 79.67551724137931, 80.09448275862067, 79.95482758620687, 80.09448275862067, 80.23413793103447, 79.53586206896551, 80.23413793103447, 80.37379310344826, 79.8151724137931, 80.09448275862067, 79.95482758620687, 79.67551724137931, 80.65310344827586, 79.95482758620687, 79.95482758620687, 79.95482758620687, 79.8151724137931, 79.95482758620687]","[80.09448275862067, 79.95482758620687, 80.37379310344826, 80.09448275862067, 80.37379310344826, 79.8151724137931, 79.67551724137931, 79.8151724137931, 80.23413793103447, 79.95482758620687, 79.95482758620687, 80.09448275862067, 80.23413793103447, 79.8151724137931, 79.95482758620687, 80.09448275862067, 79.53586206896551, 79.95482758620687, 80.09448275862067, 79.8151724137931, 80.09448275862067, 80.09448275862067, 80.23413793103447, 79.95482758620687]"
7,"[80.06896551724138, 79.93103448275862, 79.82758620689656, 80.10344827586206, 80.03448275862068, 79.89655172413794, 80.10344827586206, 80.0, 79.89655172413794, 80.10344827586206, 79.93103448275862, 80.13793103448276, 80.0, 80.0, 80.06896551724138, 79.89655172413794, 80.06896551724138, 79.93103448275862, 79.82758620689656, 80.06896551724138, 80.0, 80.17241379310344, 80.10344827586206]","[79.39620689655172, 79.25655172413792, 81.07206896551725, 79.53586206896551, 80.51344827586206, 80.65310344827586, 79.11689655172412, 79.67551724137931, 80.65310344827586, 79.8151724137931, 80.09448275862067, 79.95482758620687, 80.09448275862067, 80.37379310344826, 78.97724137931033, 80.23413793103447, 80.09448275862067, 79.95482758620687, 79.8151724137931, 79.95482758620687, 79.95482758620687, 79.53586206896551, 80.23413793103447]","[79.95482758620687, 80.37379310344826, 80.09448275862067, 80.23413793103447, 80.09448275862067, 79.67551724137931, 79.95482758620687, 80.09448275862067, 79.8151724137931, 80.09448275862067, 80.09448275862067, 80.37379310344826, 79.39620689655172, 79.25655172413792, 81.49103448275861, 80.09448275862067, 80.23413793103447, 80.09448275862067, 79.95482758620687, 79.67551724137931, 80.65310344827586, 80.09448275862067, 80.37379310344826]","[79.25655172413792, 79.95482758620687, 80.09448275862067, 79.67551724137931, 79.8151724137931, 79.8151724137931, 79.8151724137931, 80.09448275862067, 79.8151724137931, 79.8151724137931, 80.09448275862067, 79.95482758620687, 80.09448275862067, 80.51344827586206, 79.67551724137931, 79.8151724137931, 79.53586206896551, 80.79275862068965, 80.09448275862067, 79.8151724137931, 80.09448275862067, 79.8151724137931, 80.09448275862067]"
8,"[69.96551724137932, 69.82758620689656, 70.06896551724138, 70.03448275862068, 69.96551724137932, 70.03448275862068, 69.96551724137932, 70.06896551724138, 70.03448275862068, 70.0, 70.06896551724138, 69.93103448275862, 69.89655172413794, 70.20689655172414, 69.89655172413794, 69.89655172413794, 70.20689655172414, 69.86206896551724, 70.0, 70.20689655172414, 69.79310344827586, 69.96551724137932, 69.96551724137932, 69.82758620689656, 70.06896551724138, 70.0, 70.06896551724138]","[69.6203448275862, 69.6203448275862, 70.17896551724138, 69.89965517241379, 70.17896551724138, 70.17896551724138, 69.89965517241379, 69.75999999999999, 70.31862068965518, 70.17896551724138, 70.45827586206894, 69.75999999999999, 70.17896551724138, 69.75999999999999, 69.4806896551724, 70.87724137931033, 69.89965517241379, 69.75999999999999, 70.17896551724138, 70.17896551724138, 69.75999999999999, 70.73758620689654, 70.17896551724138, 69.89965517241379, 69.89965517241379, 70.03931034482758, 70.45827586206894]","[69.75999999999999, 70.59793103448274, 70.17896551724138, 69.75999999999999, 69.89965517241379, 70.17896551724138, 70.31862068965518, 69.3410344827586, 69.6203448275862, 70.03931034482758, 70.31862068965518, 70.17896551724138, 69.6203448275862, 69.89965517241379, 69.75999999999999, 70.31862068965518, 70.17896551724138, 70.17896551724138, 69.89965517241379, 70.03931034482758, 70.17896551724138, 70.03931034482758, 70.03931034482758, 70.17896551724138, 69.6203448275862, 69.89965517241379, 70.17896551724138]","[69.6203448275862, 70.03931034482758, 70.03931034482758, 70.03931034482758, 70.17896551724138, 69.2013793103448, 69.89965517241379, 69.89965517241379, 70.03931034482758, 70.17896551724138, 70.17896551724138, 70.03931034482758, 69.89965517241379, 69.75999999999999, 70.03931034482758, 70.17896551724138, 69.75999999999999, 70.31862068965518, 69.75999999999999, 69.89965517241379, 70.17896551724138, 70.17896551724138, 69.89965517241379, 69.6203448275862, 70.45827586206894, 69.89965517241379, 70.03931034482758]"
9,"[69.93103448275862, 69.72413793103448, 70.27586206896552, 70.13793103448276, 69.82758620689656, 70.06896551724138, 70.10344827586206, 70.17241379310344, 69.72413793103448, 70.06896551724138, 70.0, 70.10344827586206, 69.72413793103448, 69.82758620689656, 70.20689655172414, 70.03448275862068, 70.0, 70.24137931034483, 69.72413793103448, 70.03448275862068, 70.0, 69.82758620689656, 69.93103448275862, 70.20689655172414, 70.0, 70.17241379310344, 69.82758620689656]","[69.89965517241379, 69.4806896551724, 70.45827586206894, 70.17896551724138, 69.75999999999999, 69.75999999999999, 69.89965517241379, 70.59793103448274, 70.31862068965518, 70.17896551724138, 69.75999999999999, 70.03931034482758, 69.75999999999999, 69.6203448275862, 70.03931034482758, 70.45827586206894, 69.89965517241379, 69.75999999999999, 70.45827586206894, 69.89965517241379, 69.89965517241379, 70.31862068965518, 70.31862068965518, 69.3410344827586, 70.03931034482758, 69.89965517241379, 69.75999999999999]","[70.03931034482758, 70.45827586206894, 69.75999999999999, 69.3410344827586, 70.59793103448274, 70.31862068965518, 69.6203448275862, 69.89965517241379, 69.89965517241379, 70.59793103448274, 70.17896551724138, 70.31862068965518, 69.6203448275862, 70.17896551724138, 69.89965517241379, 69.89965517241379, 70.31862068965518, 69.89965517241379, 69.4806896551724, 70.59793103448274, 70.17896551724138, 69.75999999999999, 70.31862068965518, 70.59793103448274, 69.2013793103448, 70.03931034482758, 69.4806896551724]","[70.03931034482758, 70.17896551724138, 69.75999999999999, 69.75999999999999, 70.03931034482758, 69.89965517241379, 69.75999999999999, 70.17896551724138, 69.4806896551724, 70.17896551724138, 69.89965517241379, 69.89965517241379, 70.59793103448274, 69.6203448275862, 70.45827586206894, 70.31862068965518, 69.75999999999999, 69.89965517241379, 70.45827586206894, 70.17896551724138, 69.6203448275862, 69.75999999999999, 70.17896551724138, 70.17896551724138, 70.03931034482758, 70.03931034482758, 69.89965517241379]"
