,0,1,2,3
0,"[121.51724137931035, 121.13793103448276, 120.17241379310344, 120.55172413793103, 120.37931034482759, 120.0, 119.89655172413794, 120.06896551724138, 119.86206896551724, 119.72413793103448, 119.3103448275862, 119.44827586206897, 119.3103448275862, 118.72413793103448, 119.62068965517241, 119.13793103448276, 119.0, 118.86206896551724, 118.37931034482759, 118.82758620689656]","[118.08068965517239, 118.22034482758619, 118.35999999999999, 118.35999999999999, 118.08068965517239, 117.66172413793103, 117.66172413793103, 118.08068965517239, 118.08068965517239, 118.22034482758619, 118.08068965517239, 117.52206896551724, 117.66172413793103, 117.24275862068964, 117.8013793103448, 117.66172413793103, 117.8013793103448, 117.52206896551724, 117.10310344827585, 117.38241379310344]","[118.63931034482758, 117.10310344827585, 118.08068965517239, 117.8013793103448, 117.9410344827586, 118.49965517241378, 117.9410344827586, 117.9410344827586, 117.9410344827586, 118.22034482758619, 117.9410344827586, 118.08068965517239, 118.49965517241378, 118.08068965517239, 117.8013793103448, 118.08068965517239, 117.8013793103448, 117.38241379310344, 116.82379310344825, 117.8013793103448]","[118.22034482758619, 117.38241379310344, 117.9410344827586, 118.22034482758619, 117.52206896551724, 117.38241379310344, 117.38241379310344, 118.22034482758619, 118.08068965517239, 117.8013793103448, 118.22034482758619, 118.22034482758619, 117.8013793103448, 117.66172413793103, 117.9410344827586, 118.08068965517239, 117.8013793103448, 117.38241379310344, 117.24275862068964, 117.66172413793103]"
1,"[120.75862068965517, 119.13793103448276, 120.3103448275862, 121.06896551724138, 121.24137931034483, 121.24137931034483, 121.13793103448276, 120.41379310344827, 120.03448275862068, 120.10344827586206, 119.6896551724138, 119.62068965517241, 119.48275862068965, 119.06896551724138, 119.51724137931035, 119.75862068965517, 119.55172413793103, 119.75862068965517, 119.79310344827586, 119.48275862068965, 119.89655172413794, 120.13793103448276, 120.06896551724138]","[117.24275862068964, 116.96344827586205, 117.8013793103448, 118.35999999999999, 118.35999999999999, 118.35999999999999, 118.35999999999999, 118.35999999999999, 118.49965517241378, 118.49965517241378, 118.49965517241378, 117.24275862068964, 118.08068965517239, 118.35999999999999, 118.22034482758619, 118.35999999999999, 118.08068965517239, 118.77896551724137, 118.91862068965517, 118.77896551724137, 118.91862068965517, 117.9410344827586, 118.22034482758619]","[116.68413793103446, 117.24275862068964, 117.66172413793103, 118.77896551724137, 118.35999999999999, 118.63931034482758, 118.22034482758619, 118.49965517241378, 118.35999999999999, 118.22034482758619, 118.08068965517239, 117.66172413793103, 118.22034482758619, 118.63931034482758, 118.49965517241378, 118.08068965517239, 118.22034482758619, 118.35999999999999, 118.22034482758619, 118.08068965517239, 118.35999999999999, 118.35999999999999, 118.35999999999999]","[116.2651724137931, 117.52206896551724, 117.52206896551724, 117.52206896551724, 118.35999999999999, 118.63931034482758, 118.63931034482758, 118.22034482758619, 118.08068965517239, 118.08068965517239, 118.35999999999999, 118.35999999999999, 118.49965517241378, 117.24275862068964, 118.22034482758619, 117.8013793103448, 118.22034482758619, 118.08068965517239, 118.91862068965517, 118.63931034482758, 119.05827586206894, 118.49965517241378, 117.9410344827586]"
2,"[122.0, 121.6896551724138, 121.17241379310344, 120.65517241379311, 120.79310344827586, 120.55172413793103, 120.37931034482759, 120.41379310344827, 119.96551724137932, 120.51724137931035, 119.51724137931035, 119.96551724137932, 120.34482758620689, 120.3103448275862, 120.03448275862068, 119.75862068965517, 119.55172413793103, 119.27586206896552, 119.3103448275862, 119.3103448275862, 119.41379310344827, 119.55172413793103]","[119.05827586206894, 118.63931034482758, 118.77896551724137, 118.35999999999999, 118.63931034482758, 119.05827586206894, 119.05827586206894, 118.63931034482758, 119.05827586206894, 119.19793103448274, 117.24275862068964, 118.35999999999999, 119.05827586206894, 119.19793103448274, 118.91862068965517, 118.35999999999999, 118.22034482758619, 118.63931034482758, 118.08068965517239, 118.35999999999999, 118.22034482758619, 118.35999999999999]","[118.77896551724137, 118.77896551724137, 118.35999999999999, 118.49965517241378, 119.19793103448274, 118.22034482758619, 118.91862068965517, 118.35999999999999, 119.05827586206894, 118.91862068965517, 117.8013793103448, 118.77896551724137, 118.35999999999999, 118.35999999999999, 118.77896551724137, 118.63931034482758, 118.77896551724137, 118.91862068965517, 118.91862068965517, 118.35999999999999, 118.63931034482758, 118.35999999999999]","[118.77896551724137, 118.49965517241378, 118.35999999999999, 119.33758620689653, 118.63931034482758, 118.08068965517239, 118.35999999999999, 119.19793103448274, 118.91862068965517, 118.49965517241378, 118.08068965517239, 119.47724137931033, 119.19793103448274, 118.91862068965517, 118.08068965517239, 118.35999999999999, 118.91862068965517, 118.22034482758619, 117.9410344827586, 118.63931034482758, 118.63931034482758, 118.08068965517239]"
3,"[122.37931034482759, 121.75862068965517, 120.82758620689656, 120.65517241379311, 120.48275862068965, 120.3103448275862, 120.55172413793103, 120.17241379310344, 120.0, 119.93103448275862, 119.75862068965517, 119.58620689655173, 119.82758620689656, 119.96551724137932, 119.75862068965517, 119.17241379310344, 119.72413793103448, 119.34482758620689, 119.13793103448276, 119.75862068965517, 119.72413793103448, 119.75862068965517, 119.62068965517241]","[118.91862068965517, 118.35999999999999, 118.08068965517239, 117.9410344827586, 118.77896551724137, 119.19793103448274, 118.49965517241378, 118.35999999999999, 118.35999999999999, 117.8013793103448, 118.63931034482758, 118.77896551724137, 118.08068965517239, 118.49965517241378, 117.8013793103448, 118.08068965517239, 118.22034482758619, 118.77896551724137, 118.77896551724137, 118.77896551724137, 118.77896551724137, 118.77896551724137, 118.49965517241378]","[118.63931034482758, 119.19793103448274, 118.35999999999999, 118.63931034482758, 119.05827586206894, 118.49965517241378, 118.91862068965517, 118.63931034482758, 118.35999999999999, 118.49965517241378, 118.77896551724137, 118.49965517241378, 118.35999999999999, 117.9410344827586, 118.63931034482758, 118.91862068965517, 118.77896551724137, 117.9410344827586, 118.22034482758619, 118.22034482758619, 118.49965517241378, 118.77896551724137, 118.77896551724137]","[118.49965517241378, 118.49965517241378, 118.35999999999999, 118.08068965517239, 118.49965517241378, 118.91862068965517, 118.08068965517239, 118.22034482758619, 118.49965517241378, 118.49965517241378, 118.08068965517239, 118.49965517241378, 118.35999999999999, 118.08068965517239, 118.35999999999999, 118.35999999999999, 118.35999999999999, 118.49965517241378, 118.49965517241378, 118.63931034482758, 118.49965517241378, 118.35999999999999, 118.35999999999999]"
4,"[123.37931034482759, 122.0, 121.10344827586206, 120.3103448275862, 121.0, 120.51724137931035, 120.27586206896552, 120.37931034482759, 120.3103448275862, 120.51724137931035, 120.65517241379311, 120.17241379310344, 119.89655172413794, 120.20689655172414, 119.86206896551724, 119.86206896551724, 119.96551724137932, 119.93103448275862, 119.48275862068965, 119.86206896551724, 119.72413793103448, 119.62068965517241]","[119.33758620689653, 118.35999999999999, 118.63931034482758, 118.49965517241378, 118.63931034482758, 118.91862068965517, 118.77896551724137, 118.77896551724137, 118.63931034482758, 118.77896551724137, 119.75655172413792, 118.91862068965517, 118.91862068965517, 119.05827586206894, 118.22034482758619, 118.35999999999999, 119.47724137931033, 119.05827586206894, 118.91862068965517, 118.77896551724137, 118.77896551724137, 118.91862068965517]","[118.77896551724137, 119.19793103448274, 119.47724137931033, 119.61689655172412, 118.77896551724137, 118.63931034482758, 118.91862068965517, 119.19793103448274, 119.05827586206894, 118.91862068965517, 119.05827586206894, 118.77896551724137, 118.49965517241378, 118.35999999999999, 118.91862068965517, 118.35999999999999, 118.63931034482758, 118.91862068965517, 118.49965517241378, 118.91862068965517, 119.05827586206894, 118.49965517241378]","[118.35999999999999, 118.35999999999999, 118.63931034482758, 118.35999999999999, 118.91862068965517, 118.63931034482758, 118.63931034482758, 118.77896551724137, 118.91862068965517, 118.77896551724137, 118.77896551724137, 119.05827586206894, 118.77896551724137, 118.91862068965517, 119.47724137931033, 118.63931034482758, 118.35999999999999, 118.22034482758619, 118.91862068965517, 118.77896551724137, 118.22034482758619, 118.49965517241378]"
5,"[123.55172413793103, 121.72413793103448, 121.03448275862068, 120.55172413793103, 120.48275862068965, 120.65517241379311, 120.3103448275862, 120.20689655172414, 120.20689655172414, 120.10344827586206, 120.20689655172414, 120.24137931034483, 120.24137931034483, 120.3103448275862, 120.03448275862068, 119.75862068965517, 119.65517241379311, 119.72413793103448, 120.37931034482759, 119.96551724137932, 119.51724137931035]","[119.47724137931033, 118.77896551724137, 118.77896551724137, 118.91862068965517, 119.33758620689653, 118.91862068965517, 118.35999999999999, 119.19793103448274, 118.35999999999999, 119.33758620689653, 119.05827586206894, 118.63931034482758, 118.63931034482758, 118.35999999999999, 118.77896551724137, 119.05827586206894, 118.77896551724137, 119.05827586206894, 118.49965517241378, 118.91862068965517, 118.35999999999999]","[119.05827586206894, 119.33758620689653, 119.05827586206894, 119.19793103448274, 119.19793103448274, 118.22034482758619, 118.77896551724137, 119.05827586206894, 119.05827586206894, 118.91862068965517, 118.77896551724137, 119.05827586206894, 119.05827586206894, 119.61689655172412, 118.77896551724137, 118.91862068965517, 118.63931034482758, 119.19793103448274, 119.19793103448274, 119.61689655172412, 118.63931034482758]","[118.91862068965517, 118.63931034482758, 118.63931034482758, 118.91862068965517, 118.77896551724137, 118.77896551724137, 119.19793103448274, 118.35999999999999, 117.66172413793103, 119.19793103448274, 119.05827586206894, 118.77896551724137, 119.19793103448274, 119.05827586206894, 118.91862068965517, 118.63931034482758, 118.77896551724137, 118.63931034482758, 119.19793103448274, 119.05827586206894, 119.33758620689653]"
6,"[122.24137931034483, 121.3103448275862, 120.17241379310344, 120.86206896551724, 120.55172413793103, 120.55172413793103, 120.51724137931035, 120.24137931034483, 120.06896551724138, 120.27586206896552, 119.96551724137932, 120.10344827586206, 120.72413793103448, 120.48275862068965, 119.86206896551724, 119.96551724137932]","[119.19793103448274, 118.77896551724137, 118.91862068965517, 118.91862068965517, 118.77896551724137, 118.63931034482758, 118.77896551724137, 118.49965517241378, 118.49965517241378, 118.91862068965517, 118.91862068965517, 118.91862068965517, 119.19793103448274, 119.19793103448274, 119.33758620689653, 118.91862068965517]","[119.05827586206894, 118.91862068965517, 117.52206896551724, 119.19793103448274, 119.33758620689653, 118.77896551724137, 119.33758620689653, 118.63931034482758, 118.77896551724137, 119.19793103448274, 119.61689655172412, 119.33758620689653, 119.47724137931033, 118.91862068965517, 118.63931034482758, 118.91862068965517]","[119.05827586206894, 118.63931034482758, 118.77896551724137, 118.63931034482758, 118.77896551724137, 119.33758620689653, 118.63931034482758, 118.49965517241378, 118.77896551724137, 118.77896551724137, 118.77896551724137, 118.77896551724137, 119.33758620689653, 118.49965517241378, 119.05827586206894, 118.49965517241378]"
7,"[121.82758620689656, 120.75862068965517, 120.37931034482759, 121.03448275862068, 120.55172413793103, 120.24137931034483, 120.34482758620689, 120.62068965517241, 120.3103448275862, 121.37931034482759, 120.79310344827586, 120.03448275862068, 119.72413793103448, 119.41379310344827, 119.62068965517241]","[118.49965517241378, 118.63931034482758, 118.22034482758619, 118.91862068965517, 118.91862068965517, 119.19793103448274, 118.49965517241378, 118.77896551724137, 118.08068965517239, 119.47724137931033, 119.75655172413792, 119.19793103448274, 118.77896551724137, 118.77896551724137, 118.77896551724137]","[118.63931034482758, 119.05827586206894, 119.19793103448274, 119.61689655172412, 118.63931034482758, 119.19793103448274, 118.91862068965517, 118.35999999999999, 118.77896551724137, 119.19793103448274, 118.91862068965517, 118.35999999999999, 119.05827586206894, 118.63931034482758, 118.49965517241378]","[118.63931034482758, 118.49965517241378, 118.35999999999999, 118.77896551724137, 118.91862068965517, 118.77896551724137, 118.91862068965517, 119.05827586206894, 118.77896551724137, 118.77896551724137, 119.05827586206894, 118.63931034482758, 118.49965517241378, 118.49965517241378, 119.05827586206894]"
8,"[121.13793103448276, 119.58620689655173, 119.55172413793103, 119.65517241379311, 119.82758620689656, 120.41379310344827, 120.51724137931035, 120.34482758620689, 120.0, 119.96551724137932, 120.13793103448276, 119.6896551724138, 119.62068965517241, 119.51724137931035, 119.48275862068965, 119.86206896551724, 120.96551724137932, 120.62068965517241, 121.06896551724138, 120.24137931034483, 120.3103448275862, 119.65517241379311, 120.20689655172414]","[118.77896551724137, 118.22034482758619, 118.08068965517239, 118.22034482758619, 118.08068965517239, 119.05827586206894, 119.19793103448274, 119.05827586206894, 119.19793103448274, 118.22034482758619, 118.91862068965517, 118.22034482758619, 118.63931034482758, 119.05827586206894, 118.91862068965517, 119.05827586206894, 120.03586206896551, 119.61689655172412, 119.33758620689653, 118.91862068965517, 119.05827586206894, 119.19793103448274, 119.33758620689653]","[119.61689655172412, 118.77896551724137, 118.49965517241378, 118.63931034482758, 118.91862068965517, 118.77896551724137, 119.05827586206894, 119.05827586206894, 118.49965517241378, 119.05827586206894, 118.91862068965517, 118.77896551724137, 118.91862068965517, 118.77896551724137, 119.47724137931033, 119.19793103448274, 119.19793103448274, 119.33758620689653, 119.05827586206894, 119.19793103448274, 119.61689655172412, 119.05827586206894, 119.33758620689653]","[119.75655172413792, 118.35999999999999, 118.08068965517239, 118.49965517241378, 118.91862068965517, 118.77896551724137, 118.77896551724137, 118.22034482758619, 118.35999999999999, 118.77896551724137, 118.63931034482758, 118.63931034482758, 118.77896551724137, 118.63931034482758, 118.63931034482758, 119.33758620689653, 119.47724137931033, 119.47724137931033, 119.61689655172412, 119.47724137931033, 119.47724137931033, 119.05827586206894, 119.19793103448274]"
9,"[122.34482758620689, 121.65517241379311, 120.6896551724138, 121.13793103448276, 120.86206896551724, 121.10344827586206, 120.55172413793103, 120.65517241379311, 120.51724137931035, 120.0, 120.34482758620689, 120.3103448275862, 120.20689655172414, 120.41379310344827, 120.48275862068965, 120.13793103448276, 120.10344827586206, 120.41379310344827, 120.20689655172414, 119.96551724137932, 120.13793103448276, 119.86206896551724]","[120.3151724137931, 118.63931034482758, 118.91862068965517, 119.05827586206894, 119.75655172413792, 119.47724137931033, 118.91862068965517, 119.19793103448274, 118.77896551724137, 118.63931034482758, 118.77896551724137, 119.47724137931033, 119.75655172413792, 119.47724137931033, 119.19793103448274, 119.33758620689653, 119.47724137931033, 119.75655172413792, 119.89620689655172, 119.33758620689653, 119.89620689655172, 119.47724137931033]","[119.33758620689653, 118.77896551724137, 118.91862068965517, 118.91862068965517, 119.05827586206894, 119.61689655172412, 119.19793103448274, 119.61689655172412, 120.03586206896551, 119.75655172413792, 119.75655172413792, 119.61689655172412, 119.33758620689653, 119.47724137931033, 119.61689655172412, 119.19793103448274, 119.89620689655172, 119.19793103448274, 119.89620689655172, 120.03586206896551, 120.03586206896551, 118.77896551724137]","[119.75655172413792, 119.19793103448274, 119.33758620689653, 119.05827586206894, 118.63931034482758, 119.33758620689653, 119.33758620689653, 119.75655172413792, 119.05827586206894, 119.19793103448274, 119.33758620689653, 119.19793103448274, 118.91862068965517, 119.33758620689653, 119.61689655172412, 119.89620689655172, 119.05827586206894, 119.19793103448274, 119.47724137931033, 119.47724137931033, 119.19793103448274, 119.75655172413792]"
